Title:,"Time Series, Area-Averaged of Air Temperature (Daytime/Ascending) daily 1 (daily)"
User Start Date:,2002-08-31T00:00:00Z
User End Date:,2016-09-25T23:59:59Z
User Bounding Box:,"-175,-60,172.5,86"
Data Bounding Box:,"-174.5,-59.5,172.5,85.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-08-31T00:00:00Z&endtime=2016-09-25T23:59:59Z&bbox=-175,-60,172.5,86&data=AIRX3STD_006_Temperature_A(z%3D500%3Aunits%3DC)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_Temperature_A):, -9999

time, mean_AIRX3STD_006_Temperature_A
2003-04-22,-14.1999264
2003-04-23,-14.1947689
2003-04-24,-14.6311398
2003-04-25,-14.2922115
2003-04-26,-14.2529049
2003-04-27,-14.3101864
2003-04-28,-14.3057919
2003-04-29,-14.3058529
2003-04-30,-14.2024899
2003-05-01,-14.1201839
2003-05-02,-14.1087093
2003-05-03,-13.9359493
2003-05-04,-13.8315182
2003-05-05,-13.7219906
2003-05-06,-13.650671
2003-05-07,-13.5880184
2003-05-08,-13.6395321
2003-05-09,-13.7130184
2003-05-10,-13.8024654
2003-05-11,-13.8906918
2003-05-12,-14.1684933
2003-05-13,-13.873724
2003-05-14,-13.8316402
2003-05-15,-13.7611141
2003-05-16,-13.7144527
2003-05-17,-13.6086483
2003-05-18,-13.4861507
2003-05-19,-13.4937801
2003-05-20,-13.4899654
2003-05-21,-13.5018063
2003-05-22,-13.5507565
2003-05-23,-13.5993099
2003-05-24,-13.6032467
2003-05-25,-13.4875546
2003-05-26,-13.2372189
2003-05-27,-13.1337032
2003-05-28,-13.1512814
2003-05-29,-13.1884212
2003-05-30,-13.2330074
2003-05-31,-13.1966
2003-06-01,-13.403265
2003-06-02,-13.3815365
2003-06-03,-13.2617245
2003-06-04,-13.2833614
2003-06-05,-13.2336788
2003-06-06,-13.1909542
2003-06-07,-13.2330074
2003-06-08,-13.3296566
2003-06-09,-13.2142086
2003-06-10,-13.354681
2003-06-11,-13.1446285
2003-06-12,-13.142889
2003-06-13,-12.8194027
2003-06-14,-12.8016415
2003-06-15,-12.8481808
2003-06-16,-12.9070797
2003-06-17,-12.932745
2003-06-18,-12.9241085
2003-06-19,-12.9658871
2003-06-20,-12.9535275
2003-06-21,-12.8495235
2003-06-22,-12.7652645
2003-06-23,-12.7460384
2003-06-24,-12.7386227
2003-06-25,-12.7057552
2003-06-26,-12.6142941
2003-06-27,-12.6241512
2003-06-28,-12.6008663
