Title:,"Time Series, Area-Averaged of Air Temperature (Daytime/Ascending) daily 1 (daily)"
User Start Date:,2002-08-01T00:00:00Z
User End Date:,2016-09-25T23:59:59Z
User Bounding Box:,"-175,-60,172.5,86"
Data Bounding Box:,"-174.5,-59.5,172.5,85.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-08-01T00:00:00Z&endtime=2016-09-25T23:59:59Z&bbox=-175,-60,172.5,86&data=AIRX3STD_006_Temperature_A(z%3D500)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_Temperature_A):, -9999

time, mean_AIRX3STD_006_Temperature_A
2004-11-08,258.612762
2004-11-09,258.553802
2004-11-10,258.511505
2004-11-11,258.425934
2004-11-12,258.351318
2004-11-13,258.40683
2004-11-14,258.406311
2004-11-15,258.332214
2004-11-16,258.264496
2004-11-17,258.224152
2004-11-18,257.662415
2004-11-19,258.293579
2004-11-20,258.310547
2004-11-21,258.187805
2004-11-22,258.167053
2004-11-23,258.113953
2004-11-24,258.090424
2004-11-25,258.02359
2004-11-26,258.020752
2004-11-27,257.92218
2004-11-28,257.920441
2004-11-29,257.868347
2004-11-30,257.789734
2004-12-01,257.838196
2004-12-02,257.886688
2004-12-03,257.961792
2004-12-04,258.101501
2004-12-05,258.184113
2004-12-06,258.163605
2004-12-07,258.05835
2004-12-08,258.026611
2004-12-09,258.125519
2004-12-10,258.064087
2004-12-11,258.057312
2004-12-12,257.825714
2004-12-13,257.886719
2004-12-14,257.789581
2004-12-15,257.705383
2004-12-16,257.689117
2004-12-17,257.737976
2004-12-18,257.769531
2004-12-19,257.756836
2004-12-20,257.73941
2004-12-21,257.499939
2004-12-22,257.782288
2004-12-23,257.641907
2004-12-24,257.608704
2004-12-25,257.628387
2004-12-26,257.630005
2004-12-27,257.832642
2004-12-28,257.962097
2004-12-29,258.209686
2004-12-30,258.192657
2004-12-31,258.367249
2005-01-01,258.556244
2005-01-02,258.496033
2005-01-03,258.424591
2005-01-04,258.321686
2005-01-05,258.389557
2005-01-06,258.278076
2005-01-07,258.171906
2005-01-08,258.093658
2005-01-09,258.011261
2005-01-10,257.913025
2005-01-11,257.873657
2005-01-12,257.802246
2005-01-13,257.982391
2005-01-14,257.973328
2005-01-15,257.928589
2005-01-16,258.233582
2005-01-17,258.265717
2005-01-18,258.322205
2005-01-19,258.245758
2005-01-20,257.946747
2005-01-21,258.022064
2005-01-22,257.951019
2005-01-23,257.902527
2005-01-24,257.837616
2005-01-25,257.841309
2005-01-26,257.874573
2005-01-27,257.904694
2005-01-28,257.838776
2005-01-29,257.874817
2005-01-30,258.005951
2005-01-31,258.195801
2005-02-01,258.335968
2005-02-02,258.475983
2005-02-03,258.555267
2005-02-04,258.653046
2005-02-05,258.531525
2005-02-06,258.405334
2005-02-07,258.302521
2005-02-08,258.169464
2005-02-09,257.967834
2005-02-10,257.909821
2005-02-11,258.029419
2005-02-12,258.033234
2005-02-13,258.11615
2005-02-14,258.171814
2005-02-15,258.137421
2005-02-16,257.993042
2005-02-17,258.045746
2005-02-18,258.07016
2005-02-19,258.020813
2005-02-20,258.009369
2005-02-21,258.047241
2005-02-22,257.971069
2005-02-23,257.791534
2005-02-24,257.611359
2005-02-25,257.470917
2005-02-26,257.541901
2005-02-27,257.537903
2005-02-28,257.493744
2005-03-01,257.61795
2005-03-02,257.142212
2005-03-03,257.840424
2005-03-04,257.996918
2005-03-05,258.169403
2005-03-06,258.332825
2005-03-07,258.267731
2005-03-08,258.26236
2005-03-09,258.310394
2005-03-10,258.397888
2005-03-11,258.295105
2005-03-12,258.411774
2005-03-13,258.231262
2005-03-14,258.259949
2005-03-15,258.370331
2005-03-16,258.415131
2005-03-17,258.392548
2005-03-18,258.262207
2005-03-19,258.321747
2005-03-20,258.282257
2005-03-21,258.30719
2005-03-22,258.355133
2005-03-23,258.405853
2005-03-24,258.424713
2005-03-25,258.430176
2005-03-26,258.327271
2005-03-27,258.1828
2005-03-28,258.134399
2005-03-29,258.093018
2005-03-30,258.163239
2005-03-31,258.336914
2005-04-01,258.39502
2005-04-02,258.546173
2005-04-03,258.692139
2005-04-04,258.870941
2005-04-05,258.913513
2005-04-06,258.879913
2005-04-07,258.876801
2005-04-08,258.897003
2005-04-09,258.847443
2005-04-10,258.962189
2005-04-11,259.103851
2005-04-12,259.165985
2005-04-13,259.08374
2005-04-14,259.152313
2005-04-15,259.119965
2005-04-16,259.283905
2005-04-17,258.892212
2005-04-18,258.762756
2005-04-19,258.64032
2005-04-20,259.126709
2005-04-21,259.161102
2005-04-22,259.115753
2005-04-23,259.05954
2005-04-24,259.139923
2005-04-25,259.19516
2005-04-26,259.125763
2005-04-27,259.126587
2005-04-28,259.189301
2005-04-29,259.11026
2005-04-30,259.056854
2005-05-01,259.075623
2005-05-02,259.100281
2005-05-03,259.146362
2005-05-04,259.15329
2005-05-05,259.229889
2005-05-06,259.234375
2005-05-07,259.221161
2005-05-08,259.267975
2005-05-09,259.111481
2005-05-10,259.001862
2005-05-11,258.696014
2005-05-12,259.084991
2005-05-13,258.935577
2005-05-14,259.258331
2005-05-15,259.341583
2005-05-16,259.48407
2005-05-17,259.483063
2005-05-18,259.48642
2005-05-19,259.242737
2005-05-20,259.524872
2005-05-21,259.613892
2005-05-22,259.666412
2005-05-23,259.537415
2005-05-24,259.58786
2005-05-25,259.684723
2005-05-26,259.750336
2005-05-27,259.747162
2005-05-28,259.711487
2005-05-29,259.817413
2005-05-30,259.974548
2005-05-31,260.050262
2005-06-01,260.069794
2005-06-02,260.129639
2005-06-03,260.117401
2005-06-04,260.132812
2005-06-05,260.13736
2005-06-06,260.167694
2005-06-07,260.255951
2005-06-08,260.320282
2005-06-09,260.319397
2005-06-10,260.36554
2005-06-11,260.455139
2005-06-12,260.531372
2005-06-13,260.593719
2005-06-14,260.609222
2005-06-15,260.680786
2005-06-16,260.682556
2005-06-17,260.567505
2005-06-18,260.301514
2005-06-19,260.190826
2005-06-20,260.344086
2005-06-21,260.477661
2005-06-22,260.605591
2005-06-23,260.597382
2005-06-24,260.542633
2005-06-25,260.539856
2005-06-26,260.482269
2005-06-27,260.546082
2005-06-28,260.601807
2005-06-29,260.742584
2005-06-30,260.84375
2005-07-01,260.979797
2005-07-02,260.989777
