Title:,"Time Series, Area-Averaged of Volumetric Soil Moisture from 6.9 GHZ daily 25 (daily)"
User Start Date:,2012-07-03T00:00:00Z
User End Date:,2023-12-22T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,"-179.875,-89.875,179.875,89.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2012-07-03T00:00:00Z&endtime=2023-12-22T23:59:59Z&data=LPRM_AMSR2_A_SOILM3_001_soil_moisture_c1&portal=GIOVANNI&format=json"
Fill Value (mean_LPRM_AMSR2_A_SOILM3_001_soil_moisture_c1):, -32767

time, mean_LPRM_AMSR2_A_SOILM3_001_soil_moisture_c1
2013-03-12,51.5512262
2013-03-13,50.4145632
2013-03-14,50.5317985
2013-03-15,51.2573092
2013-03-16,50.1882181
2013-03-17,52.2110828
2013-03-18,49.7920985
2013-03-19,50.9150202
2013-03-20,50.363755
2013-03-21,50.5308328
2013-03-22,50.3065512
2013-03-23,50.0523936
2013-03-24,50.7014009
2013-03-25,50.1555146
2013-03-26,51.5970814
2013-03-27,50.543043
2013-03-28,50.7099706
2013-03-29,50.6342013
2013-03-30,50.9639217
2013-03-31,51.581913
2013-04-01,51.2672649
2013-04-02,31.4375486
2013-04-03,50.6396691
2013-04-04,50.898999
2013-04-05,50.3461088
2013-04-06,50.9210008
2013-04-07,50.852431
2013-04-08,51.0299538
2013-04-09,52.0039845
2013-04-10,33.5848053
2013-04-11,52.8285215
2013-04-12,51.5838624
2013-04-13,52.2873603
2013-04-14,52.0021704
2013-04-15,51.9294779
2013-04-16,51.9741538
2013-04-17,52.6591212
2013-04-18,53.1601993
2013-04-19,52.5935074
2013-04-20,53.1219082
2013-04-21,52.7564535
2013-04-22,53.3067918
2013-04-23,53.2732216
2013-04-24,53.9055086
2013-04-25,54.2052128
2013-04-26,55.5730477
2013-04-27,55.4297406
2013-04-28,54.3254345
2013-04-29,54.9582922
2013-04-30,54.5455492
2013-05-01,54.9870652
2013-05-02,55.4142408
2013-05-03,55.9541587
2013-05-04,56.131052
2013-05-05,55.9737971
2013-05-06,56.564647
2013-05-07,56.3050443
2013-05-08,56.8505407
2013-05-09,56.7865979
2013-05-10,57.2868532
2013-05-14,54.4928599
2013-05-15,58.0793472
2013-05-16,57.5923854
2013-05-17,58.1140703
2013-05-18,58.032375
2013-05-19,57.3778907
